"ZVarPDF_TA","TPDFMean","PVVarPDF_TA","PVPDF_TA","rhoPDF_TA","ZPDF_TA","Points:0","Points:1","Points:2"
2.77001e-02,1.50031e+03,7.22580e+00,7.47900e+00,2.12381e-01,5.77921e-01,2.05610e-01,6.64585e-03,0.00000e+00
4.08519e-03,5.64105e+02,2.11582e+00,1.65012e+00,5.59553e-01,9.19110e-01,1.41118e-01,1.23775e-03,0.00000e+00
3.01173e-02,1.53021e+03,7.02278e+00,7.53991e+00,2.08733e-01,5.51304e-01,1.93216e-01,7.35096e-03,0.00000e+00
7.62074e-03,6.59491e+02,3.18012e+00,2.23508e+00,4.93142e-01,8.79927e-01,2.05751e-02,3.71224e-03,0.00000e+00
1.29683e-02,1.85559e+03,4.99341e+00,8.29151e+00,1.79196e-01,3.19701e-01,3.18807e-01,1.27195e-02,0.00000e+00
6.99803e-09,2.94053e+02,5.92093e-06,2.35391e-04,1.19601e+00,8.09470e-06,5.31332e-02,2.66887e-02,0.00000e+00
4.75320e-09,2.94041e+02,4.01745e-06,1.69383e-04,1.19608e+00,5.82570e-06,5.38769e-02,2.76356e-02,0.00000e+00
5.12104e-09,2.94053e+02,4.32671e-06,2.04303e-04,1.19604e+00,7.02642e-06,5.43659e-02,2.68382e-02,0.00000e+00
5.64300e-07,1.88009e+03,4.02921e-04,7.69971e+00,1.80306e-01,2.70091e-01,1.19858e-03,8.00160e-03,0.00000e+00
4.63728e-08,2.94562e+02,3.87767e-05,2.07338e-03,1.19423e+00,7.15658e-05,1.97406e-02,1.49640e-02,0.00000e+00
2.77878e-04,4.78531e+02,2.37109e-01,7.20975e-01,7.45756e-01,2.46990e-02,3.46820e-02,1.18487e-02,0.00000e+00
